nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.004617,-0.004165,0.035822,0.002985,-0.00347,0.03992,0.005504,-0.001299,0.032122,0.003696,-0.000244,0.040815,0.004766,0.00414,0.006444,0.010337,0.002304,0.053873,0.002556,0.001893,-0.031396,0
0.006152,-0.003685,0.048712,0.003081,-0.003278,0.051428,0.006291,-0.001028,0.044485,0.003344,-6.1e-05,0.053911,0.004867,0.004108,0.017845,0.009486,0.001453,0.067418,0.002722,0.000955,-0.028873,0
0.006046,-0.003854,0.057475,0.003031,-0.003469,0.059123,0.006012,-0.001414,0.052117,0.003249,-0.000269,0.059198,0.004474,0.003475,0.025139,0.008888,2e-06,0.07569,0.002846,-0.00202,-0.022002,0
0.006033,-0.004469,0.036418,0.003079,-0.003686,0.037849,0.00599,-0.00193,0.034861,0.003392,-0.000509,0.038726,0.004439,0.002344,0.020679,0.008947,-6.2e-05,0.040626,0.002855,-0.002019,-0.016008,0
0.005773,-0.004597,0.028124,0.003046,-0.003769,0.030982,0.005908,-0.002105,0.027057,0.003347,-0.000741,0.035797,0.004422,0.001918,0.015121,0.008528,-0.000539,0.037374,0.002884,-0.002472,-0.013745,0
0.005394,-0.00439,0.022178,0.002901,-0.003618,0.025506,0.005837,-0.001995,0.020922,0.003259,-0.000682,0.031625,0.00443,0.002116,0.007652,0.008423,-0.00068,0.041781,0.002774,-0.002265,-0.015434,0
0.005063,-0.004275,0.022914,0.002817,-0.003456,0.027325,0.005769,-0.001928,0.021438,0.003236,-0.00055,0.037913,0.004428,0.002283,0.007888,0.008475,-0.000898,0.048237,0.002631,-0.002185,-0.010863,0
0.004424,-0.003323,0.046061,0.00264,-0.002846,0.047992,0.005483,-0.001444,0.042108,0.003205,-0.000151,0.045182,0.004384,0.003094,0.017283,0.008605,-0.001305,0.048865,0.002622,-0.00211,-0.00754,0
0.002904,0.002436,0.039007,0.00206,0.001903,0.039318,0.004495,0.003625,0.039811,0.002977,0.002405,0.035555,0.003961,0.008378,0.022042,0.008471,-0.000737,0.020208,0.002593,-0.002583,0.019356,0
0.002979,0.009336,0.049352,0.001971,0.007988,0.04918,0.004379,0.009876,0.047573,0.00289,0.005915,0.041192,0.003867,0.012857,0.031705,0.007221,0.000162,0.023362,0.002218,-0.003148,0.01456,0
0.003485,0.009804,0.048488,0.002038,0.009133,0.046898,0.004484,0.010908,0.048279,0.00306,0.006637,0.035046,0.003816,0.014536,0.036571,0.006406,-0.00015,-0.006093,0.002187,-0.003694,0.029291,0
0.006146,0.009237,0.059557,0.002618,0.01013,0.058501,0.006611,0.010748,0.060778,0.003177,0.00722,0.039959,0.004207,0.014477,0.048686,0.005424,-0.001606,-0.010034,0.001821,-0.003825,0.049461,0
0.009942,0.006463,0.084049,0.003612,0.009873,0.082237,0.010213,0.008912,0.082626,0.003662,0.007322,0.055968,0.00602,0.0134,0.057442,0.005215,-0.00413,0.007659,0.004429,-0.004959,0.048789,0
0.010978,0.005891,0.069657,0.004594,0.010097,0.070106,0.011879,0.008512,0.070596,0.004248,0.007523,0.052135,0.006848,0.012967,0.052079,0.004135,-0.005169,0.005554,0.004942,-0.005442,0.047166,0
0.009565,0.002313,0.045856,0.004493,0.005677,0.04732,0.010035,0.005084,0.04942,0.004068,0.005477,0.036848,0.005951,0.011171,0.045053,0.003337,-0.006279,-0.004991,0.003912,-0.005332,0.045049,0
0.008634,-0.003034,0.095681,0.004026,-0.002118,0.091813,0.009192,0.000451,0.093308,0.002995,0.000506,0.057355,0.005758,0.007099,0.066604,0.006062,-0.00979,0.00616,0.003447,-0.004434,0.014864,0
0.00637,-0.011365,0.039926,0.003426,-0.009856,0.037874,0.007239,-0.004623,0.042953,0.002593,-0.006534,0.015628,0.005608,0.00193,0.043977,0.014718,-0.009,-0.020441,0.001821,0.005999,-0.001624,0
0.005437,-0.037589,0.005829,0.002829,-0.030188,0.006684,0.005285,-0.023761,0.011458,0.002288,-0.024796,-0.01179,0.005325,-0.017477,0.01435,0.016813,-0.012043,-0.039076,0.003254,-0.001248,-0.007399,0
0.000181,-0.073316,0.02432,-0.001109,-0.061512,0.026441,-0.000174,-0.053997,0.029306,-0.002821,-0.05713,0.000699,0.003918,-0.046562,0.011785,0.015259,-0.028482,0.000991,0.005746,-0.013105,-0.02652,0
-0.003152,-0.087785,0.023083,-0.00461,-0.073269,0.025311,-0.004985,-0.064071,0.02982,-0.005384,-0.070037,-0.00659,0.001444,-0.053504,0.015644,0.014933,-0.03093,-0.034479,0.006316,-0.018571,-0.032197,0
-0.009266,-0.086559,0.02472,-0.009538,-0.075011,0.024968,-0.010796,-0.066159,0.03269,-0.007984,-0.072855,-0.013955,-0.000943,-0.056108,0.022523,0.015006,-0.029832,-0.044586,0.006507,-0.019787,-0.031561,0
-0.018212,-0.081592,0.018275,-0.014897,-0.073723,0.015956,-0.016561,-0.064099,0.028824,-0.010508,-0.071497,-0.037367,-0.002963,-0.055132,0.027521,0.016642,-0.024452,-0.07579,0.006215,-0.018903,-0.024239,0
