nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.442824,0.539679,-0.708989,0.475605,0.493025,-0.665707,0.407028,0.493687,-0.675574,0.505224,0.509878,-0.364369,0.377037,0.511369,-0.401349,0.603176,0.752746,-0.171651,0.270826,0.776116,-0.279931,0
0.442916,0.537927,-0.707278,0.475409,0.491268,-0.663841,0.407026,0.492766,-0.673771,0.504497,0.509562,-0.363916,0.377034,0.511347,-0.399461,0.603018,0.752793,-0.166842,0.2707,0.778075,-0.280428,0
0.441353,0.532679,-0.721319,0.474523,0.484894,-0.675909,0.406472,0.487692,-0.683641,0.504155,0.507359,-0.373613,0.377372,0.510032,-0.398228,0.605765,0.752938,-0.174186,0.27367,0.778101,-0.285333,0
0.440364,0.526706,-0.725657,0.474222,0.47901,-0.68009,0.406109,0.480965,-0.686448,0.504274,0.505071,-0.379171,0.377688,0.507521,-0.398197,0.607838,0.752405,-0.176715,0.275093,0.778684,-0.285791,0
0.439724,0.523322,-0.748714,0.474169,0.477002,-0.702271,0.405843,0.475441,-0.708696,0.505847,0.504395,-0.398108,0.378196,0.50441,-0.415973,0.608616,0.753908,-0.187741,0.275344,0.779139,-0.294454,0
0.43958,0.522879,-0.715525,0.474198,0.476959,-0.670489,0.40578,0.474351,-0.676815,0.506462,0.504337,-0.377456,0.378546,0.502926,-0.394574,0.608909,0.754424,-0.186239,0.275734,0.77812,-0.284289,0
0.441459,0.520073,-0.736067,0.474391,0.47514,-0.687614,0.406112,0.472207,-0.697703,0.505845,0.503319,-0.379904,0.378601,0.500983,-0.413678,0.606342,0.754042,-0.180587,0.27578,0.775375,-0.294005,0
0.442202,0.519176,-0.752106,0.474409,0.4747,-0.701016,0.406073,0.471938,-0.712202,0.504676,0.503009,-0.380362,0.378163,0.500836,-0.423062,0.604512,0.753837,-0.174896,0.273377,0.776381,-0.305861,0
0.441917,0.517824,-0.744216,0.474182,0.474041,-0.692422,0.405507,0.471667,-0.703074,0.503619,0.502788,-0.373772,0.377713,0.500818,-0.413136,0.604069,0.753799,-0.172807,0.271908,0.7774,-0.297349,0
0.441796,0.517636,-0.746457,0.474035,0.473862,-0.695129,0.405322,0.472271,-0.705395,0.50325,0.502671,-0.376009,0.377551,0.501312,-0.414148,0.603877,0.753628,-0.171617,0.272018,0.777507,-0.294145,0
0.44156,0.520145,-0.732222,0.473907,0.474476,-0.687653,0.405342,0.475198,-0.695549,0.503196,0.502567,-0.383598,0.377796,0.502765,-0.410252,0.605698,0.753176,-0.17723,0.275323,0.777259,-0.294602,0
0.44148,0.522271,-0.745734,0.473971,0.474955,-0.699178,0.405491,0.476599,-0.71004,0.503457,0.502583,-0.388312,0.378004,0.503169,-0.423106,0.606657,0.753125,-0.173697,0.275555,0.777794,-0.308535,0
0.441545,0.524232,-0.77249,0.474159,0.476263,-0.721442,0.405892,0.478353,-0.734151,0.504069,0.503028,-0.393727,0.378323,0.503806,-0.439313,0.607182,0.752949,-0.165667,0.275765,0.778026,-0.316796,0
0.441506,0.525444,-0.754677,0.474191,0.477308,-0.708332,0.40606,0.479451,-0.71889,0.504318,0.503359,-0.392741,0.378592,0.504213,-0.433117,0.607745,0.752941,-0.172938,0.276103,0.776733,-0.31269,0
0.441655,0.524918,-0.73971,0.474215,0.476837,-0.693479,0.406151,0.478843,-0.702323,0.504317,0.503128,-0.385984,0.378625,0.504205,-0.418087,0.607773,0.752994,-0.180327,0.276547,0.775549,-0.302967,0
0.441363,0.525038,-0.751594,0.47413,0.476966,-0.70402,0.405926,0.479146,-0.71347,0.504171,0.50325,-0.391585,0.37861,0.504673,-0.42391,0.607568,0.75305,-0.185527,0.276786,0.775427,-0.302917,0
0.441103,0.525188,-0.776364,0.474084,0.477443,-0.726545,0.405591,0.47939,-0.736654,0.50404,0.503574,-0.400965,0.378456,0.504978,-0.436249,0.605887,0.75296,-0.181758,0.275094,0.776256,-0.306101,0
0.440907,0.525715,-0.754984,0.474073,0.478362,-0.70783,0.405449,0.479793,-0.715723,0.504004,0.504076,-0.393456,0.378342,0.505128,-0.420879,0.605357,0.753906,-0.181798,0.273202,0.7774,-0.295072,0
0.44141,0.528155,-0.774547,0.474311,0.481358,-0.723493,0.405728,0.481593,-0.735599,0.504099,0.50636,-0.389056,0.378282,0.505995,-0.43408,0.601526,0.75602,-0.139013,0.272334,0.774354,-0.30133,0
0.439913,0.533821,-0.776506,0.474387,0.489521,-0.724726,0.405538,0.484546,-0.737184,0.503698,0.511153,-0.381336,0.377634,0.505943,-0.434198,0.591084,0.757027,-0.119255,0.269654,0.763772,-0.304247,0
0.43861,0.537185,-0.778831,0.47423,0.493878,-0.727818,0.404837,0.487473,-0.738657,0.502943,0.513831,-0.385774,0.376502,0.506372,-0.432339,0.586611,0.756943,-0.130066,0.26822,0.760932,-0.289283,0
0.43492,0.538207,-0.776648,0.472188,0.495488,-0.725814,0.401518,0.48886,-0.736256,0.499339,0.515246,-0.386186,0.37363,0.506837,-0.427178,0.583159,0.75697,-0.124539,0.264306,0.762869,-0.282787,0
0.432849,0.53894,-0.74855,0.470079,0.49634,-0.702259,0.399281,0.490105,-0.709344,0.496531,0.515973,-0.379828,0.372024,0.507623,-0.406569,0.582123,0.757056,-0.122563,0.263719,0.762842,-0.268041,0
